0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1.000000,0.984135,0.968277,0.952435,0.936616,0.920827,0.905074,0.889365,0.873707,0.858104,0.842563,0.827090,0.811691,0.796370,0.781133,0.765985,0.750930,0.735974,0.721120,0.706373,0.691736,0.677213,0.662809,0.648526,0.634368,0.620337,0.606438,0.592672,0.579042,0.565551,0.552202,0.538995,0.525934,0.513020,0.500256,0.487642,0.475180,0.462873,0.450720,0.438723,0.426884,0.415203,0.403681,0.392319,0.381118,0.370077,0.359198,0.348481,0.337926,0.327533,0.317302,0.307233,0.297327,0.287583,0.278001,0.268580,0.259321,0.250222,0.241283,0.232504,0.223884,0.215422,0.207118,0.198971,0.190979,0.183142,0.175460,0.167930,0.160553,0.153326,0.146249,0.139321,0.132540,0.125905,0.119414,0.113068,0.106864,0.100800,0.094876,0.089090,0.083440,0.077926,0.072545,0.067297,0.062179,0.057190,0.052328,0.047593,0.042981,0.038493,0.034126,0.029878,0.025748,0.021734,0.017835,0.014048,0.010374,0.006808,0.003351,0.000000
0.999874,0.984020,0.968174,0.952342,0.936533,0.920754,0.905011,0.889312,0.873662,0.858068,0.842535,0.827070,0.811679,0.796365,0.781136,0.765994,0.750946,0.735996,0.721148,0.706406,0.691775,0.677257,0.662857,0.648579,0.634425,0.620398,0.606502,0.592740,0.579113,0.565625,0.552278,0.539074,0.526015,0.513103,0.500340,0.487728,0.475267,0.462961,0.450809,0.438813,0.426974,0.415294,0.403772,0.392410,0.381208,0.370168,0.359288,0.348570,0.338014,0.327621,0.317389,0.307320,0.297412,0.287667,0.278084,0.268661,0.259400,0.250300,0.241360,0.232579,0.223957,0.215494,0.207188,0.199038,0.191045,0.183206,0.175522,0.167990,0.160610,0.153382,0.146302,0.139372,0.132589,0.125952,0.119460,0.113111,0.106905,0.100839,0.094913,0.089125,0.083473,0.077957,0.072574,0.067323,0.062203,0.057213,0.052349,0.047612,0.042999,0.038508,0.034139,0.029890,0.025758,0.021743,0.017842,0.014054,0.010378,0.006811,0.003352,0.000000
0.999497,0.983658,0.967826,0.952010,0.936215,0.920450,0.904721,0.889034,0.873397,0.857816,0.842295,0.826842,0.811462,0.796160,0.780941,0.765811,0.750773,0.735832,0.720994,0.706261,0.691639,0.677130,0.662738,0.648468,0.634321,0.620302,0.606413,0.592658,0.579037,0.565556,0.552214,0.539016,0.525962,0.513056,0.500298,0.487690,0.475234,0.462932,0.450784,0.438792,0.426957,0.415279,0.403761,0.392402,0.381203,0.370165,0.359287,0.348572,0.338018,0.327626,0.317396,0.307328,0.297422,0.287678,0.278096,0.268675,0.259414,0.250315,0.241375,0.232595,0.223974,0.215510,0.207205,0.199055,0.191062,0.183224,0.175539,0.168007,0.160627,0.153398,0.146319,0.139388,0.132605,0.125967,0.119474,0.113125,0.106918,0.100852,0.094926,0.089137,0.083485,0.077968,0.072584,0.067333,0.062212,0.057221,0.052357,0.047619,0.043005,0.038514,0.034144,0.029894,0.025762,0.021746,0.017845,0.014056,0.010379,0.006812,0.003353,0.000000
0.998867,0.983048,0.967235,0.951437,0.935661,0.919913,0.904202,0.888533,0.872912,0.857347,0.841843,0.826406,0.811041,0.795754,0.780550,0.765434,0.750410,0.735483,0.720658,0.705938,0.691328,0.676832,0.662452,0.648193,0.634058,0.620050,0.606171,0.592426,0.578816,0.565343,0.552011,0.538822,0.525777,0.512879,0.500129,0.487529,0.475081,0.462786,0.450645,0.438660,0.426831,0.415160,0.403647,0.392294,0.381101,0.370068,0.359196,0.348485,0.337936,0.327548,0.317322,0.307259,0.297357,0.287616,0.278037,0.268620,0.259363,0.250266,0.241329,0.232552,0.223933,0.215473,0.207169,0.199022,0.191031,0.183194,0.175512,0.167982,0.160604,0.153376,0.146298,0.139369,0.132587,0.125950,0.119459,0.113111,0.106905,0.100840,0.094914,0.089126,0.083475,0.077959,0.072576,0.067326,0.062206,0.057215,0.052351,0.047614,0.043001,0.038510,0.034141,0.029891,0.025759,0.021744,0.017843,0.014055,0.010378,0.006811,0.003352,0.000000
0.997987,0.982190,0.966401,0.950625,0.934871,0.919145,0.903455,0.887807,0.872207,0.856663,0.841179,0.825761,0.810416,0.795147,0.779962,0.764863,0.749857,0.734948,0.720140,0.705437,0.690843,0.676362,0.661998,0.647754,0.633634,0.619640,0.605776,0.592044,0.578447,0.564988,0.551669,0.538492,0.525459,0.512572,0.499834,0.487245,0.474807,0.462523,0.450392,0.438416,0.426597,0.414935,0.403432,0.392087,0.380902,0.369877,0.359013,0.348310,0.337768,0.327387,0.317168,0.307111,0.297216,0.287482,0.277909,0.268497,0.259245,0.250154,0.241222,0.232450,0.223836,0.215380,0.207081,0.198938,0.190951,0.183119,0.175440,0.167914,0.160539,0.153315,0.146240,0.139314,0.132535,0.125902,0.119413,0.113068,0.106865,0.100802,0.094879,0.089093,0.083444,0.077930,0.072550,0.067301,0.062183,0.057194,0.052332,0.047597,0.042985,0.038496,0.034129,0.029880,0.025750,0.021736,0.017836,0.014050,0.010374,0.006809,0.003351,0.000000
0.996855,0.981086,0.965322,0.949573,0.933845,0.918145,0.902480,0.886857,0.871283,0.855762,0.840302,0.824908,0.809585,0.794340,0.779177,0.764100,0.749116,0.734227,0.719440,0.704757,0.690183,0.675722,0.661377,0.647152,0.633050,0.619074,0.605227,0.591513,0.577933,0.564490,0.551187,0.538025,0.525008,0.512136,0.499412,0.486837,0.474414,0.462142,0.450025,0.438062,0.426255,0.414605,0.403114,0.391780,0.380607,0.369593,0.358739,0.348046,0.337514,0.327143,0.316934,0.306886,0.296999,0.287274,0.277709,0.268305,0.259062,0.249978,0.241054,0.232289,0.223682,0.215233,0.206940,0.198804,0.190823,0.182997,0.175323,0.167803,0.160434,0.153215,0.146146,0.139224,0.132450,0.125821,0.119337,0.112996,0.106797,0.100739,0.094819,0.089038,0.083392,0.077882,0.072505,0.067259,0.062145,0.057159,0.052300,0.047567,0.042959,0.038473,0.034108,0.029862,0.025734,0.021723,0.017825,0.014041,0.010368,0.006805,0.003349,0.000000
0.995472,0.979734,0.964001,0.948282,0.932584,0.916914,0.901278,0.885684,0.870138,0.854646,0.839213,0.823846,0.808551,0.793332,0.778195,0.763144,0.748185,0.733321,0.718558,0.703899,0.689349,0.674911,0.660589,0.646386,0.632306,0.618351,0.604526,0.590832,0.577272,0.563849,0.550565,0.537422,0.524423,0.511570,0.498863,0.486306,0.473899,0.461645,0.449543,0.437596,0.425805,0.414170,0.402693,0.391374,0.380215,0.369214,0.358374,0.347694,0.337175,0.326816,0.316619,0.306583,0.296707,0.286993,0.277439,0.268046,0.258813,0.249739,0.240825,0.232069,0.223471,0.215031,0.206747,0.198619,0.190646,0.182828,0.175162,0.167649,0.160288,0.153076,0.146013,0.139099,0.132331,0.125709,0.119231,0.112896,0.106702,0.100649,0.094735,0.088959,0.083319,0.077813,0.072441,0.067201,0.062091,0.057109,0.052255,0.047526,0.042922,0.038439,0.034078,0.029836,0.025712,0.021704,0.017810,0.014029,0.010359,0.006799,0.003346,0.000000
0.993838,0.978135,0.962437,0.946753,0.931088,0.915452,0.899849,0.884288,0.868774,0.853313,0.837913,0.822577,0.807312,0.792124,0.777016,0.761995,0.747065,0.732230,0.717495,0.702864,0.688341,0.673929,0.659633,0.645456,0.631402,0.617472,0.603671,0.590001,0.576465,0.563065,0.549803,0.536683,0.523706,0.510874,0.498188,0.485652,0.473265,0.461030,0.448948,0.437020,0.425247,0.413630,0.402171,0.390869,0.379726,0.368742,0.357918,0.347253,0.336750,0.326406,0.316223,0.306201,0.296340,0.286639,0.277099,0.267718,0.258498,0.249436,0.240534,0.231790,0.223203,0.214774,0.206501,0.198384,0.190421,0.182612,0.174957,0.167453,0.160100,0.152898,0.145844,0.138938,0.132178,0.125564,0.119094,0.112766,0.106580,0.100535,0.094628,0.088858,0.083224,0.077725,0.072359,0.067125,0.062020,0.057045,0.052196,0.047473,0.042873,0.038396,0.034040,0.029803,0.025683,0.021679,0.017790,0.014013,0.010348,0.006791,0.003343,0.000000
0.991955,0.976290,0.960631,0.944984,0.929358,0.913758,0.898193,0.882668,0.867191,0.851766,0.836400,0.821100,0.805870,0.790715,0.775641,0.760653,0.745756,0.730953,0.716250,0.701650,0.687158,0.672777,0.658511,0.644363,0.630337,0.616436,0.602663,0.589020,0.575511,0.562138,0.548903,0.535808,0.522856,0.510048,0.497387,0.484874,0.472510,0.460298,0.448238,0.436332,0.424580,0.412985,0.401546,0.390264,0.379141,0.368176,0.357370,0.346725,0.336239,0.325913,0.315747,0.305742,0.295897,0.286212,0.276687,0.267322,0.258117,0.249070,0.240182,0.231451,0.222878,0.214462,0.206202,0.198098,0.190147,0.182350,0.174706,0.167214,0.159873,0.152681,0.145637,0.138741,0.131992,0.125387,0.118926,0.112608,0.106431,0.100394,0.094495,0.088734,0.083108,0.077617,0.072259,0.067032,0.061935,0.056966,0.052124,0.047407,0.042814,0.038343,0.033993,0.029762,0.025648,0.021650,0.017766,0.013994,0.010333,0.006782,0.003338,0.000000
0.989821,0.974200,0.958582,0.942978,0.927393,0.911835,0.896310,0.880826,0.865388,0.850003,0.834677,0.819415,0.804223,0.789107,0.774070,0.759119,0.744258,0.729491,0.714824,0.700259,0.685801,0.671454,0.657221,0.643107,0.629113,0.615244,0.601502,0.587891,0.574412,0.561068,0.547862,0.534796,0.521873,0.509093,0.496459,0.483973,0.471635,0.459449,0.447414,0.435533,0.423806,0.412234,0.400818,0.389560,0.378459,0.367516,0.356732,0.346107,0.335642,0.325337,0.315191,0.305205,0.295379,0.285712,0.276206,0.266858,0.257670,0.248640,0.239768,0.231054,0.222497,0.214096,0.205851,0.197761,0.189825,0.182042,0.174411,0.166932,0.159604,0.152424,0.145393,0.138509,0.131771,0.125178,0.118728,0.112421,0.106255,0.100228,0.094339,0.088588,0.082971,0.077489,0.072140,0.066921,0.061833,0.056872,0.052038,0.047329,0.042744,0.038280,0.033937,0.029713,0.025606,0.021614,0.017736,0.013971,0.010316,0.006771,0.003332,0.000000
