,0,1,2,3,4,5,6,7,8,9
0,1.0,0.9396926207859084,0.766044443118978,0.5000000000000001,0.17364817766693041,-0.1736481776669303,-0.4999999999999998,-0.7660444431189779,-0.9396926207859083,-1.0
1,-7.4122437173011635,-10.34145693138897,-10.87055747729407,-9.849301463290558,-8.135963305987051,-6.543867769037417,-5.781021345393077,-6.3932927631196605,-8.72036169997526,-12.871516492973743
2,88.84428949653079,119.52257797340843,124.20870304954467,106.7666293498843,73.25961889139494,29.773729354845866,-19.246394323499977,-72.15010086627791,-130.7187686369442,-200.3037476640711
3,-1294.2763116413462,-1746.3902042505779,-1887.6548385928304,-1769.7818338209777,-1477.775954291146,-1112.12318285073,-774.646907640663,-560.6959304776852,-558.8340619800193,-858.0097250808126
4,17021.900555126686,22963.34679942207,24432.511493430993,21998.065342946295,16606.396539906877,9343.362542740324,1210.1364550508306,-7063.268494525403,-15160.820401907637,-23290.378086343346
5,-245754.7571964095,-331539.6599320536,-357718.847406301,-332929.34943978104,-271657.5088802469,-191361.92207355594,-109899.73573583622,-43636.48205988058,-6479.519681910918,-9953.710771770846
6,3347401.3559457315,4515864.556172797,4831065.631406694,4403974.778144944,3420582.8915215093,2099825.598183104,653654.4504999717,-746355.1727355361,-1993665.7557911607,-3062775.944848416
7,-47527650.31518081,-64117930.28176535,-69015622.10916455,-63850204.946940534,-51357693.09220225,-34820923.26619235,-17555344.26958625,-2508419.582845628,7984072.657591261,12265561.661405548
8,656265833.5788426,885345824.5818634,949085631.0769733,869433525.1089553,683212118.5616131,434075209.576448,164933936.16316697,-88269496.89389583,-300949654.90025556,-462335022.37018424
9,-9237149224.069363,-12461522573.504236,-13396477723.616215,-12356075205.765217,-9867572103.37763,-6561405626.807098,-3069241210.103221,56985375.099211276,2397063190.027213,3682497210.769959
10,128330061547.52809,173125703613.08997,185758452253.98798,170542165391.901,134716031499.85692,86886564782.09001,35567530125.29666,-12008077385.646105,-50703195315.04016,-77892971732.76924
11,-1798840239168.2197,-2426753936985.429,-2607252573833.133,-2401274492569.104,-1911112696867.841,-1258861923754.639,-566372433937.2205,60796509219.98999,543915037879.2833,835591492953.3625
12,25061839797065.496,33810072218388.06,36292329303723.04,33353141685252.23,26409877514117.777,17149754981224.898,7246568441981.884,-1868637491928.7478,-9162834884201.326,-14076439052730.129
13,-350621477870504.0,-473011462211478.9,-508049526633190.1,-467593601311383.25,-371547521366165.06,-243648079451342.75,-107540075647031.6,16376933857992.832,113040173395457.08,173658385360060.97
